"title","link","description","img","id"
"На Шри-Ланке мужчина погиб после нападения слона ","https://ria.ru/20220813/slon-1809388032.html","МОСКВА, 13 авг - РИА Новости. Слон напал на мужчину на Шри-Ланке, он скончался от полученных травм, сообщает местное издание Newsfirst.Отмечается, что инцидент произошел в пятницу ночью в округе Полоннарува.""Мужчина умер после нападения дикого слона в Аралагангвиле в округе Полоннарува в пятницу"", - передает издание.По данным издания, мужчине был 61 год, он присматривал ночью за своей плантацией.28 июля, 19:28В Дагестане волк напал на двух мальчиков","https://cdnn21.img.ria.ru/images/7e4/2/5/1564297077_0:0:2560:2048_1440x900_80_0_1_170ee2c65263f0033ade9f8e33026925.jpg?source-sid=cc_by_20",631
"США находятся на грани войны с Россией и Китаем, считает Киссинджер ","https://ria.ru/20220813/kissindzher-1809387715.html","ВАШИНГТОН, 13 авг - РИА Новости. Бывший американский госсекретарь Генри Киссинджер (возглавлял госдеп с 1973 по 1977 годы) считает, что США находятся ""на грани войны"" с Москвой и Пекином по вопросам, которые частично создали сами.""Мы находимся на грани войны с Россией и Китаем по вопросам, которые мы частично создали, не имея какого-либо представления о том, чем это закончится или к чему это должно привести"", - заявил Киссинджер в интервью газете Wall Street Journal.Экс-госсекретарь США отметил, что ""все, что можно сделать, - это не нагнетать напряженность и создавать варианты, а для этого должна быть какая-то цель"".Говоря об Украине, Киссинджер отметил, что раньше ""лучшей ролью"" для этой страны он считал ""что-то вроде Финляндии"", которая не входит в Североатлантический альянс. Теперь - из-за проводимой РФ спецоперации - он ""считает, что, так или иначе, официально или нет, к Украине после этого нужно относиться как к члену НАТО"".Что касается урегулирования по Украине, то оно, по мнению Киссинджера, сохранит за Россией ""Крым и части Донбасса"", пишет газета (цитату экс-госсекретаря издание не приводит).07:01В США признали, что ""неизлечимо больны""Россия начала военную операцию на Украине 24 февраля. Президент Владимир Путин назвал ее целью ""защиту людей, которые на протяжении восьми лет подвергаются издевательствам, геноциду со стороны киевского режима"".Для этого, по его словам, планируется провести ""демилитаризацию и денацификацию Украины"", предать суду всех военных преступников, ответственных за ""кровавые преступления против мирных жителей"" Донбасса.По заявлению Минобороны РФ, Вооруженные силы наносят удары только по военной инфраструктуре и украинским войскам и, на 25 марта, выполнили основные задачи первого этапа – существенно снизили боевой потенциал Украины.Конечная цель операции, по словам верховного главнокомандующего, — ""освобождение Донбасса и создание условий, которые бы гарантировали безопасность самой России"".12:13Бывшая конгрессвумен назвала истинную цель Байдена в украинском кризисе","https://cdnn21.img.ria.ru/images/104508/88/1045088831_0:0:2936:2048_1440x900_80_1_1_0120a4ac8aaeec6196fc7ff21603205f.jpg?source-sid=rian_photo",632
"В Финляндии определили механизм сокращения выдачи турвиз россиянам ","https://ria.ru/20220813/vizy-1809387386.html","ХЕЛЬСИНКИ, 13 авг — РИА Новости. В Финляндии определили, как изменят механизм выдачи россиянам туристических виз — для этого на неделе может быть доступен только один день, сообщил глава финского МИД Пекка Хаависто.""На практике это может означать, что вы можете подавать документы на туристическую визу по понедельникам, а со вторника по пятницу вы можете подавать документы на визу по семейным обстоятельствам, учебе, работе или другим веским основаниям"", — сказал он в интервью телеканалу MTV3.Министр отметил, что страна таким образом бы существенно замедлила выдачу туристических виз в России, также эта мера реализуема на национальном уровне законодательства.Количество выдаваемых Финляндией шенгенских виз в России существенно снизилось. Как сообщали РИА Новости в МИД Финляндии, в июле страна получила около 17,2 тысячи заявок на получение визы в России, отказавшись назвать процент отказа в получении визы. Как сообщали финские СМИ, лидером по отказам в июле является посольство Финляндии в Москве, где главной причиной отказов было несоответствие основного пункта назначения.В допандемийный, 2019 год, россияне подали 786 407 заявлений на получение визы, из которых только 0,7% в среднем были отклонены, сообщали ранее в ведомстве.Вчера, 16:46ТуризмСМИ: Чехия предложит ЕС обсудить запрет шенгенских виз для россиянПовышенный интерес у россиян к финским шенгенским визам возник после снятия Россией с 15 июля пандемийных ограничений на перемещение через сухопутную границу. Открытие границы и возобновление туризма на фоне продолжающейся российской спецоперации на Украине остро поставили в Финляндии вопрос об уместности присутствия в стране российских туристов. В настоящее время правительство страны обсуждает возможности по ограничению прибытия российских туристов.Как сообщалось ранее, целый ряд государств Евросоюза ограничил выдачу шенгенских виз россиянам. Например, Чехия, Эстония, Латвия, Литва, Румыния, Польша, Нидерланды. Очереди на получение шенгенских виз во Франции, Греции и Испании достигают нескольких месяцев, сообщали ранее финские СМИ.Вчера, 22:10В Эстонии назвали проблемой визы, выданные россиянам другими странами","https://cdnn21.img.ria.ru/images/152657/84/1526578486_0:0:3018:2048_1440x900_80_1_1_f70118aceed6af838fd03a457a379cd4.jpg?source-sid=rian_photo",633
"При обстреле Макеевки погибла пожилая женщина ","https://ria.ru/20220813/obstrel-1809386744.html","ДОНЕЦК, 13 авг - РИА Новости. Пожилая женщина погибла в Макеевке при обстреле со стороны украинских войск, еще одна ранена в Петровском районе Донецка, сообщили в штабе обороны ДНР.""Украинские боевики обстреляли Червоногвардейский район Макеевки, по улице Пархоменко погибла мирная жительница 1938 года рождения"", - говорится в сообщении в Telegram-канале штаба.16:10Специальная военная операция на УкраинеУкраинские войска обстреляли Донецк и Макеевку снарядами натовского калибраТакже сообщается об одной пострадавшей в Петровском районе Донецка. По улице Мамаева Кургана при обстреле ранена женщина 1948 года рождения.Ранее в субботу представительство ДНР в Совместном центре по контролю и координации режима прекращения огня сообщало о многократных обстрелах Донецка и Макеевки, в том числе с применением артиллерии ""натовского"" калибра 155 миллиметров.13:53Специальная военная операция на УкраинеУкраинские войска обстреляли пять населенных пунктов в ДНР","https://cdnn21.img.ria.ru/images/07e6/06/16/1797339827_0:0:2993:2048_1440x900_80_1_1_d4504a23b5899d24cc4cb42fd670d9da.jpg?source-sid=rian_photo",634
"Подмосковье проводит переговоры о локализации предприятий из Китая ","https://ria.ru/20220813/predpriyatiya-1809386216.html","МОСКВА, 13 авг - РИА Новости. Московская область уже ведет переговоры с китайскими инвесторами о локализации предприятий, также позже в Китай приедет подмосковная делегация, сообщила зампред правительства - министр инвестиций, промышленности и науки Подмосковья Екатерина Зиновьева.""Еще мы очень активно смотрим сейчас на Китай. Просто в силу определенных условий мы, наверное, поедем туда чуть позже. Но очень много переговоров с китайскими инвесторами мы уже провели, в том числе на площадке Питерского международного форума. И сейчас вот в рабочем порядке к нам делегация, и мы ведем уже конкретные разговоры о локализации предприятий"", - рассказала журналистам Зиновьева.16:05Подмосковье возобновит роуд-шоу для инвесторов в сентябре","https://cdnn21.img.ria.ru/images/95648/03/956480342_0:0:2212:1475_1440x900_80_0_1_8977989410762874e4124efab6893bd6.jpg?source-sid=Fotolia",635
"В поселке Зайцево в ДНР при обстреле поврежден храм ","https://ria.ru/20220813/khram-1809386073.html","ДОНЕЦК, 13 авг - РИА Новости. Свято-Покровский храм поврежден, а колокольня разбита из-за обстрела украинскими войсками поселка Зайцево, сообщил мэр Горловки Иван Приходько.""Старинный (постройка 19-го века) Свято-Покровский храм получил многочисленные повреждения, также укронацисты разбили колокольню"", - написал он в Telegram-канале.Приходько также отметил, что зафиксированы разрывы украинских снарядов в районе местного детского сада.Поселок городского типа Зайцево находится к северу от Горловки, одного из крупнейших городов донецкой агломерации, который также регулярно подвергается обстрелам со стороны украинских войск.","https://cdnn21.img.ria.ru/images/07e6/07/14/1803681189_0:0:3072:2048_1440x900_80_0_1_1bfd93ebcf06067f1cde3358d67df5a6.jpg?source-sid=ap_photo",636
"ПВО отразила украинский обстрел Мелитополя ","https://ria.ru/20220813/melitopol-1809385687.html","СИМФЕРОПОЛЬ, 13 авг - РИА Новости. Обстрел Мелитополя в Запорожской области несколькими ракетами со стороны украинских войск днем в субботу был отражен ПВО, сообщил представитель администрации региона Владимир Рогов.""Несколько ракет было запущено сейчас по Мелитополю, слава богу, ПВО все их сбила"", - сказал Рогов в эфире канала ""Россия 24"".Вчера, 17:33Специальная военная операция на УкраинеАдвокат из Мелитополя признался в сотрудничестве с СБУ","https://cdnn21.img.ria.ru/images/07e6/07/14/1803776105_0:0:3071:2048_1440x900_80_1_1_03bbb3c3957fe7ef294e9591335f66e1.jpg?source-sid=rian_photo",637
"Для некоторых жителей ДНР отменили плату за услугу водоснабжения ","https://ria.ru/20220813/donbass-1809385406.html","ДОНЕЦК, 13 авг - РИА Новости. Плата за услугу водоснабжения для жителей ДНР, получающих воду из канала ""Северский Донец – Донбасс"", с 1 марта до 31 декабря отменена, заявил глава республики Денис Пушилин.По его словам, из-за обстрелов украинскими войсками населенных пунктов, в большинстве городов сложилась критичная ситуация с водоснабжением. Пушилин подчеркивает, что украинские боевики не оставляют надежды устроить полную водную блокаду ДНР. Как он утверждает, лишь малая часть населенных пунктов, где водоснабжение осуществляется из подземных источников, обеспечены водой.""Считаю, что практически полное отсутствие воды у миллионов наших граждан не позволяет требовать оплату за воду с населения. В связи с этим принято постановление Государственного комитета обороны Донецкой Народной Республики ""О бесплатной подаче воды населению"". С 1 марта по 31 декабря 2022 года для жителей городов и районов ДНР, которые получают воду из канала ""Северский Донец – Донбасс"", плата за услугу водоснабжения и водоотведения отменена"", - написал Пушилин в Telegram-канале.Все внесенные в качестве оплаты за услуги водоснабжения и водоотведения в 2022 году населением средства будут пересчитаны авансом на 2023 год, отметил он. Убытки водоснабжающих предприятий будут субсидированы из госбюджета во второй половине года.Канал ""Северский Донецк – Донбасс"" питает территорию всей республики.10 августа, 12:30Восстановить подачу воды, газа и электричества в ДНР могут к 15 октября","https://cdnn21.img.ria.ru/images/07e6/02/1a/1775253167_0:0:3198:2048_1440x900_80_1_1_0c1b105bea50a3288076f51716710d97.jpg?source-sid=rian_photo",638
"Украинские войска обстреляли Донецк и Макеевку снарядами натовского калибра ","https://ria.ru/20220813/obstrel-1809384564.html","ДОНЕЦК, 13 авг - РИА Новости. Украинские войска за час трижды обстреляли Макеевку снарядами ""натовского"" калибра 155 миллиметров, также три раза ударили по Донецку, выпустив 36 снарядов калибром 155 и 152 миллиметра сообщает представительство ДНР в Совместном центре по контролю и координации режима прекращения огня (СЦКК).""Зафиксирован обстрел со стороны вооруженных формирований Украины по направлению: 14.20 - н.п. Орловка - н.п. Макеевка (Червоногвардейский р-н): выпущено пять снарядов калибром 155 миллиметров... 14.50 - н.п. Орловка - н.п. Макеевка (Кировский район): выпущено семь снарядов калибром 155 миллиметров... 15.20 - н.п. Орловка - н.п. Макеевка (Червоногвардейский р-н): выпущено семь снарядов калибром 155 миллиметров"", - говорится в сообщениях в Telegram-канале представительства.Обстрелы Донецка были зафиксированы в 14.40, 14.45 и 15.40. Под удар попали Киевский, Кировский и Петровский районы города. Всего по столице республики украинские войска выпустили 17 снарядов калибром 155 и 152 миллиметра.Макеевка - город-спутник Донецка, с северо-востока прилегает к столице ДНР.Артиллерия калибром 155 миллиметров применяется странами НАТО. Также на Украине была разработана и изготовлена в единственном экземпляре колесная самоходная артиллерийская установка ""Богдана"" под такой калибр. Ранее США поставили Украине дальнобойные гаубицы M-777 калибром 155 миллиметров, украинские войска уже использовали их для обстрела городов, включая Донецк, в результате чего гибли мирные жители.15:42ИнфографикаКарта спецоперации Вооруженных сил России на Украине на 13.08.2022","https://cdnn21.img.ria.ru/images/07e6/03/15/1779343866_0:0:3072:2048_1440x900_80_1_1_9b38e63ff3d526fb5387508b1c6ef017.jpg?source-sid=rian_photo",639
"В Берлине выступили против посредничества страны в украинском кризисе ","https://radiosputnik.ria.ru/20220813/posrednichestvo-1809384322.html","МОСКВА, 13 августа/ Радио Sputnik. Как и вся Европа, Германия поддерживает Украину и поэтому не может быть нейтральным посредником на переговорах с Россией, заявил лидер немецкой оппозиционной партии ""Христианско-демократический союз"" (ХДС) Фридрих Мерц.""Скажу отстраненно от людей: Федеративная Республика Германия не играет посреднической роли в этом конфликте. <…> Мы стоим вместе с Европой на стороне Украины и поэтому не занимаем нейтральную позицию"", – приводит РИА Новости ответ Мерца на вопрос о вероятности вмешательства экс-канцлера ФРГ Ангелы Меркель в решение украинского кризиса.Политик также обвинил бундестаг в нерешительности в вопросе поддержки Украины и поставок вооружений.Ранее радио Sputnik сообщало, в чем президент Польши Анджей Дуда обвинил экс-канцлера ФРГ Ангелу Меркель. 19 июня, 09:56В миреШольц поддержал ""российский вектор"" политики Меркель, пишут СМИКоротко и по делу. Только отборные цитаты в нашем Телеграм-канале.","https://cdnn21.img.ria.ru/images/07e4/09/15/1577569043_0:0:3255:2047_1440x900_80_0_1_85153f0879f14d0ff1240b634c5efccc.jpg?source-sid=ap_photo",640
